,benchmark,cpu,mode1,mode2,target
941,CG,2004.8307189941406,C-states On,reboot,normal_reboot_CG_C_32_46
940,CG,1857.2694396972656,C-states On,reboot,normal_reboot_CG_C_32_45
939,CG,1879.0146789550781,C-states On,reboot,normal_reboot_CG_C_32_44
938,CG,1849.5926818847656,C-states On,reboot,normal_reboot_CG_C_32_43
937,CG,1857.0794982910159,C-states On,reboot,normal_reboot_CG_C_32_42
936,CG,1864.0518798828125,C-states On,reboot,normal_reboot_CG_C_32_41
935,CG,1870.8038330078125,C-states On,reboot,normal_reboot_CG_C_32_40
934,CG,1880.6323547363281,C-states On,reboot,normal_reboot_CG_C_32_4
933,CG,2002.3147888183594,C-states On,reboot,normal_reboot_CG_C_32_39
932,CG,2002.2742614746094,C-states On,reboot,normal_reboot_CG_C_32_38
931,CG,2016.2614135742188,C-states On,reboot,normal_reboot_CG_C_32_37
930,CG,1831.5465393066406,C-states On,reboot,normal_reboot_CG_C_32_36
929,CG,1901.0812683105469,C-states On,reboot,normal_reboot_CG_C_32_35
928,CG,1876.6058349609373,C-states On,reboot,normal_reboot_CG_C_32_34
927,CG,2014.955139160156,C-states On,reboot,normal_reboot_CG_C_32_33
926,CG,2015.5552062988281,C-states On,reboot,normal_reboot_CG_C_32_32
953,CG,1832.898498535156,C-states On,reboot,normal_reboot_CG_C_32_57
954,CG,2028.539123535156,C-states On,reboot,normal_reboot_CG_C_32_58
955,CG,1878.1681518554688,C-states On,reboot,normal_reboot_CG_C_32_59
956,CG,2067.0709228515625,C-states On,reboot,normal_reboot_CG_C_32_6
984,CG,2006.3703918457031,C-states On,reboot,normal_reboot_CG_C_32_85
983,CG,2015.8562622070312,C-states On,reboot,normal_reboot_CG_C_32_84
982,CG,1871.0397338867188,C-states On,reboot,normal_reboot_CG_C_32_83
981,CG,1860.3871765136719,C-states On,reboot,normal_reboot_CG_C_32_82
980,CG,2005.5105895996094,C-states On,reboot,normal_reboot_CG_C_32_81
979,CG,1850.6058044433594,C-states On,reboot,normal_reboot_CG_C_32_80
978,CG,1840.0278015136719,C-states On,reboot,normal_reboot_CG_C_32_8
977,CG,2030.3612365722656,C-states On,reboot,normal_reboot_CG_C_32_79
976,CG,1847.4330139160159,C-states On,reboot,normal_reboot_CG_C_32_78
975,CG,2021.235137939453,C-states On,reboot,normal_reboot_CG_C_32_77
974,CG,2011.9586791992188,C-states On,reboot,normal_reboot_CG_C_32_76
973,CG,2005.6109008789065,C-states On,reboot,normal_reboot_CG_C_32_75
972,CG,1870.6933898925781,C-states On,reboot,normal_reboot_CG_C_32_74
986,CG,1870.3508911132806,C-states On,reboot,normal_reboot_CG_C_32_87
971,CG,2028.3437194824216,C-states On,reboot,normal_reboot_CG_C_32_73
969,CG,2009.4437561035159,C-states On,reboot,normal_reboot_CG_C_32_71
968,CG,2026.6173706054688,C-states On,reboot,normal_reboot_CG_C_32_70
967,CG,2023.008056640625,C-states On,reboot,normal_reboot_CG_C_32_7
966,CG,2007.3687744140625,C-states On,reboot,normal_reboot_CG_C_32_69
965,CG,1860.79638671875,C-states On,reboot,normal_reboot_CG_C_32_68
964,CG,1869.5531005859373,C-states On,reboot,normal_reboot_CG_C_32_67
963,CG,1878.0345458984373,C-states On,reboot,normal_reboot_CG_C_32_66
962,CG,1876.2015380859373,C-states On,reboot,normal_reboot_CG_C_32_65
961,CG,1876.8641357421875,C-states On,reboot,normal_reboot_CG_C_32_64
960,CG,1859.03125,C-states On,reboot,normal_reboot_CG_C_32_63
959,CG,2018.4527282714844,C-states On,reboot,normal_reboot_CG_C_32_62
958,CG,1877.329162597656,C-states On,reboot,normal_reboot_CG_C_32_61
957,CG,1854.5518798828125,C-states On,reboot,normal_reboot_CG_C_32_60
970,CG,2021.130126953125,C-states On,reboot,normal_reboot_CG_C_32_72
1799,EP,7815.5126953125,C-states On,reboot,normal_reboot_EP_B_1_100
