,target,RAPL_ENERGY_DRAM_0,RAPL_ENERGY_DRAM_1,RAPL_ENERGY_PKG_0,RAPL_ENERGY_PKG_1,begin,end,entryNumber,RAPL_ENERGY_PKG_all,RAPL_ENERGY_DRAM_all,Machine,time,powers_av_all,type,bench,class,Nbprocess,y_ax,RAPL_ENERGY_PKG_BOTH
77,normal_test_CG_C_32_1,90.15556335449219,192.24720764160156,1156.9891052246094,1503.8699340820312,2019-08-01 08:31:48.498,2019-08-01 08:32:00.510,1,2943.2618103027344,5886.523620605469,Dahu30,12.012,226.40475463867188,normal,CG,C,32,normal,2660.8590393066406
121,normal_test_CG_C_32_2,200.38288116455078,85.52323913574219,1502.8419494628906,1190.6179809570312,2019-08-01 08:32:04.515,2019-08-01 08:32:16.529,2,2979.366050720215,5958.73210144043,Dahu30,12.014,229.182003901555,normal,CG,C,32,normal,2693.459930419922
166,normal_test_CG_C_32_3,201.09739685058594,90.29222106933594,1502.9137268066406,1224.6232604980469,2019-08-01 08:32:20.534,2019-08-01 08:32:32.546,3,3018.9266052246094,6037.853210449219,Dahu30,12.012,232.2251234788161,normal,CG,C,32,normal,2727.5369873046875
209,normal_test_CG_C_32_4,98.50072479248047,209.86495971679688,1282.6013793945312,1615.7786560058594,2019-08-01 08:32:35.550,2019-08-01 08:32:48.564,4,3206.745719909668,6413.491439819336,Dahu30,13.014,229.05326570783342,normal,CG,C,32,normal,2898.3800354003906
256,normal_test_CG_C_32_5,98.62108612060547,208.28861236572266,1287.1621398925781,1618.5790710449219,2019-08-01 08:32:51.568,2019-08-01 08:33:04.582,5,3212.650909423828,6425.301818847656,Dahu30,13.014,229.47506495884485,normal,CG,C,32,normal,2905.7412109375
301,normal_test_CG_C_32_6,95.88567352294922,195.18846893310547,1218.2417907714844,1495.0534973144531,2019-08-01 08:33:07.587,2019-08-01 08:33:19.598,6,3004.369430541992,6008.738861083984,Dahu30,12.011,231.10534081092248,normal,CG,C,32,normal,2713.2952880859375
346,normal_test_CG_C_32_7,200.74346923828125,86.93077850341797,1505.7772216796875,1218.3705139160156,2019-08-01 08:33:23.603,2019-08-01 08:33:35.617,7,3011.8219833374023,6023.643966674805,Dahu30,12.014,231.6786141028771,normal,CG,C,32,normal,2724.147735595703
391,normal_test_CG_C_32_8,91.84215545654297,195.77037811279297,1235.38525390625,1505.9269104003906,2019-08-01 08:33:39.623,2019-08-01 08:33:51.637,8,3028.9246978759766,6057.849395751953,Dahu30,12.014,232.99420752892127,normal,CG,C,32,normal,2741.3121643066406
435,normal_test_CG_C_32_9,96.09130096435547,162.1708984375,1131.3146057128906,1237.4396667480469,2019-08-01 08:33:54.643,2019-08-01 08:34:04.651,9,2627.016471862793,5254.032943725586,Dahu30,10.008,238.8196792602539,normal,CG,C,32,normal,2368.7542724609375
473,normal_test_CG_C_32_10,201.2920684814453,92.01958465576172,1507.5329895019531,1251.9289245605469,2019-08-01 08:34:08.657,2019-08-01 08:34:20.669,10,3052.773567199707,6105.547134399414,Dahu30,12.012,234.828735938439,normal,CG,C,32,normal,2759.4619140625
517,normal_test_CG_C_32_11,215.8021469116211,92.80767059326172,1623.8299255371094,1299.9495544433594,2019-08-01 08:34:23.674,2019-08-01 08:34:36.686,11,3232.3892974853516,6464.778594970703,Dahu30,13.012,230.88494982038225,normal,CG,C,32,normal,2923.7794799804688
562,normal_test_CG_C_32_12,216.4977035522461,91.35045623779297,1622.2054443359375,1288.1119079589844,2019-08-01 08:34:39.690,2019-08-01 08:34:52.704,12,3218.165512084961,6436.331024169922,Dahu30,13.014,229.86896514892578,normal,CG,C,32,normal,2910.317352294922
609,normal_test_CG_C_32_13,100.32719421386719,209.5478744506836,1329.0994567871094,1621.68408203125,2019-08-01 08:34:55.709,2019-08-01 08:35:08.723,13,3260.65860748291,6521.31721496582,Dahu30,13.014,232.9041862487793,normal,CG,C,32,normal,2950.7835388183594
655,normal_test_CG_C_32_14,100.32872009277344,209.98065185546875,1330.3089599609375,1621.1201782226562,2019-08-01 08:35:11.728,2019-08-01 08:35:24.739,14,3261.738510131836,6523.477020263672,Dahu30,13.011,232.981322152274,normal,CG,C,32,normal,2951.4291381835938
701,normal_test_CG_C_32_15,216.6397247314453,93.61953735351562,1625.4657287597656,1313.9502258300781,2019-08-01 08:35:27.744,2019-08-01 08:35:40.755,15,3249.6752166748047,6499.350433349609,Dahu30,13.011,232.11965833391463,normal,CG,C,32,normal,2939.4159545898438
746,normal_test_CG_C_32_16,217.31277465820312,93.33114624023438,1624.7139282226562,1300.3600158691406,2019-08-01 08:35:43.761,2019-08-01 08:35:56.778,16,3235.7178649902344,6471.435729980469,Dahu30,13.017,231.1227046421596,normal,CG,C,32,normal,2925.073944091797
792,normal_test_CG_C_32_17,97.70581817626953,194.73123931884766,1266.27734375,1498.1415710449219,2019-08-01 08:35:59.783,2019-08-01 08:36:11.794,17,3056.855972290039,6113.711944580078,Dahu30,12.011,235.14276709923377,normal,CG,C,32,normal,2764.418914794922
837,normal_test_CG_C_32_18,186.8128433227539,92.91007995605469,1384.9450988769531,1188.2911987304688,2019-08-01 08:36:15.799,2019-08-01 08:36:26.809,18,2852.9592208862305,5705.918441772461,Dahu30,11.01,237.7466017405192,normal,CG,C,32,normal,2573.236297607422
877,normal_test_CG_C_32_19,218.6396255493164,93.79803466796875,1630.6840209960938,1306.8682250976562,2019-08-01 08:36:29.814,2019-08-01 08:36:42.826,19,3249.989906311035,6499.97981262207,Dahu30,13.012,232.14213616507394,normal,CG,C,32,normal,2937.55224609375
924,normal_test_CG_C_32_20,96.3941879272461,195.23414611816406,1257.9299926757812,1506.3315734863281,2019-08-01 08:36:45.831,2019-08-01 08:36:57.844,20,3055.8899002075195,6111.779800415039,Dahu30,12.013,235.06845386211688,normal,CG,C,32,normal,2764.2615661621094
969,normal_test_EP_B_1_1,519.5200729370117,239.8779296875,4074.9417724609375,3185.097930908203,2019-08-01 08:37:01.849,2019-08-01 08:38:09.900,1,8019.437705993652,16038.875411987305,Dahu30,68.051,116.22373486947322,normal,EP,B,1,normal,7260.039703369141
1182,normal_test_EP_B_1_2,519.6632995605469,239.4061050415039,4063.9624633789062,3131.0445556640625,2019-08-01 08:38:13.905,2019-08-01 08:39:21.954,2,7954.0764236450195,15908.152847290039,Dahu30,68.049,115.27646990789883,normal,EP,B,1,normal,7195.007019042969
1392,normal_test_EP_B_1_3,534.6327133178711,244.74921417236328,4094.669677734375,3247.3228759765625,2019-08-01 08:39:24.959,2019-08-01 08:40:35.009,3,8121.374481201172,16242.748962402344,Dahu30,70.05,114.38555607325594,normal,EP,B,1,normal,7341.9925537109375
1612,normal_test_EP_B_1_4,510.52093505859375,233.2945556640625,3880.4683227539062,3085.4343872070312,2019-08-01 08:40:39.014,2019-08-01 08:41:46.064,4,7709.718200683594,15419.436401367188,Dahu30,67.05,113.37820883358226,normal,EP,B,1,normal,6965.9027099609375
1819,normal_test_EP_B_1_5,537.7858123779297,246.44297790527344,4094.460235595703,3280.814727783203,2019-08-01 08:41:49.069,2019-08-01 08:43:00.124,5,8159.503753662109,16319.007507324219,Dahu30,71.055,113.32644102308485,normal,EP,B,1,normal,7375.274963378906
2040,normal_test_EP_B_1_6,514.6186141967773,236.36624145507812,3943.171600341797,3129.6965942382812,2019-08-01 08:43:03.129,2019-08-01 08:44:11.169,6,7823.853050231934,15647.706100463867,Dahu30,68.04,113.38917464104252,normal,EP,B,1,normal,7072.868194580078
2251,normal_test_EP_B_1_7,289.60990142822266,479.61536407470703,3314.196014404297,3976.9305725097656,2019-08-01 08:44:14.174,2019-08-01 08:45:24.224,7,8060.351852416992,16120.703704833984,Dahu30,70.05,113.52608242840834,normal,EP,B,1,normal,7291.1265869140625
2468,normal_test_EP_B_1_8,511.7406692504883,236.40697479248047,3947.439666748047,3129.7380981445312,2019-08-01 08:45:27.229,2019-08-01 08:46:35.281,8,7825.325408935547,15650.650817871094,Dahu30,68.052,113.41051317297894,normal,EP,B,1,normal,7077.177764892578
