,target,sensor,benchmark,mode,mode2,number,cpu
57,normal_normal_EP_B_1_50p_16,runningmodesxDahu25,EP,normal,normal,16,7903.416961669922
58,normal_normal_EP_B_1_50p_17,runningmodesxDahu25,EP,normal,normal,17,7380.184631347656
59,normal_normal_EP_B_1_50p_18,runningmodesxDahu25,EP,normal,normal,18,7578.560638427734
60,normal_normal_EP_B_1_50p_19,runningmodesxDahu25,EP,normal,normal,19,7877.414520263672
61,normal_normal_EP_B_1_50p_2,runningmodesxDahu25,EP,normal,normal,2,7453.286376953125
62,normal_normal_EP_B_1_50p_20,runningmodesxDahu25,EP,normal,normal,20,7859.419586181641
63,normal_normal_EP_B_1_50p_21,runningmodesxDahu25,EP,normal,normal,21,7907.220123291016
64,normal_normal_EP_B_1_50p_22,runningmodesxDahu25,EP,normal,normal,22,7452.259643554687
65,normal_normal_EP_B_1_50p_23,runningmodesxDahu25,EP,normal,normal,23,7498.167388916016
66,normal_normal_EP_B_1_50p_24,runningmodesxDahu25,EP,normal,normal,24,7417.044372558594
67,normal_normal_EP_B_1_50p_25,runningmodesxDahu25,EP,normal,normal,25,8307.133056640625
68,normal_normal_EP_B_1_50p_26,runningmodesxDahu25,EP,normal,normal,26,7531.336853027344
69,normal_normal_EP_B_1_50p_27,runningmodesxDahu25,EP,normal,normal,27,8138.906768798828
70,normal_normal_EP_B_1_50p_28,runningmodesxDahu25,EP,normal,normal,28,7478.171936035156
71,normal_normal_EP_B_1_50p_29,runningmodesxDahu25,EP,normal,normal,29,7481.253509521484
72,normal_normal_EP_B_1_50p_3,runningmodesxDahu25,EP,normal,normal,3,7933.17236328125
73,normal_normal_EP_B_1_50p_30,runningmodesxDahu25,EP,normal,normal,30,7778.986145019531
74,normal_normal_EP_B_1_50p_31,runningmodesxDahu25,EP,normal,normal,31,7557.691131591797
75,normal_normal_EP_B_1_50p_32,runningmodesxDahu25,EP,normal,normal,32,7891.608947753906
76,normal_normal_EP_B_1_50p_33,runningmodesxDahu25,EP,normal,normal,33,7907.855010986328
77,normal_normal_EP_B_1_50p_34,runningmodesxDahu25,EP,normal,normal,34,7381.464141845703
78,normal_normal_EP_B_1_50p_35,runningmodesxDahu25,EP,normal,normal,35,7548.967712402344
79,normal_normal_EP_B_1_50p_36,runningmodesxDahu25,EP,normal,normal,36,7536.347442626953
80,normal_normal_EP_B_1_50p_37,runningmodesxDahu25,EP,normal,normal,37,7770.59033203125
81,normal_normal_EP_B_1_50p_38,runningmodesxDahu25,EP,normal,normal,38,7897.912292480469
82,normal_normal_EP_B_1_50p_39,runningmodesxDahu25,EP,normal,normal,39,7534.010284423828
83,normal_normal_EP_B_1_50p_4,runningmodesxDahu25,EP,normal,normal,4,7886.328857421875
84,normal_normal_EP_B_1_50p_40,runningmodesxDahu25,EP,normal,normal,40,7779.791809082031
85,normal_normal_EP_B_1_50p_41,runningmodesxDahu25,EP,normal,normal,41,7901.6087646484375
86,normal_normal_EP_B_1_50p_42,runningmodesxDahu25,EP,normal,normal,42,7918.742492675781
87,normal_normal_EP_B_1_50p_43,runningmodesxDahu25,EP,normal,normal,43,7542.087188720703
88,normal_normal_EP_B_1_50p_44,runningmodesxDahu25,EP,normal,normal,44,7880.478820800781
89,normal_normal_EP_B_1_50p_45,runningmodesxDahu25,EP,normal,normal,45,8274.95980834961
90,normal_normal_EP_B_1_50p_46,runningmodesxDahu25,EP,normal,normal,46,7514.594970703125
91,normal_normal_EP_B_1_50p_47,runningmodesxDahu25,EP,normal,normal,47,7388.772857666016
92,normal_normal_EP_B_1_50p_48,runningmodesxDahu25,EP,normal,normal,48,7387.130523681641
93,normal_normal_EP_B_1_50p_49,runningmodesxDahu25,EP,normal,normal,49,7421.098419189453
94,normal_normal_EP_B_1_50p_5,runningmodesxDahu25,EP,normal,normal,5,7507.906951904297
95,normal_normal_EP_B_1_50p_50,runningmodesxDahu25,EP,normal,normal,50,7914.667724609375
96,normal_normal_EP_B_1_50p_6,runningmodesxDahu25,EP,normal,normal,6,7524.919799804687
97,normal_normal_EP_B_1_50p_7,runningmodesxDahu25,EP,normal,normal,7,7382.6348876953125
98,normal_normal_EP_B_1_50p_8,runningmodesxDahu25,EP,normal,normal,8,7410.485198974609
99,normal_normal_EP_B_1_50p_9,runningmodesxDahu25,EP,normal,normal,9,8276.22866821289
100,normal_normal_LU_C_64_1,runningmodesxDahu25,LU,normal,normal,1,6707.763092041016
101,normal_normal_LU_C_64_10,runningmodesxDahu25,LU,normal,normal,10,6742.533203125
102,normal_normal_LU_C_64_11,runningmodesxDahu25,LU,normal,normal,11,6756.251708984375
103,normal_normal_LU_C_64_12,runningmodesxDahu25,LU,normal,normal,12,6756.371490478516
104,normal_normal_LU_C_64_13,runningmodesxDahu25,LU,normal,normal,13,7223.497741699219
105,normal_normal_LU_C_64_14,runningmodesxDahu25,LU,normal,normal,14,6754.036773681641
