target,begin,end,name,mode,mode2,benchmark,class,cpu number,p,number,sensor,cpu 0,cpu 1,dram 0,dram 1,cpu,dram
normal_normal_LU_C_64_12,2019-07-22 12:30:42.815,2019-07-22 12:31:08.846,normal_normal_LU_C_64_12,normal,normal,LU,C,64,12,12,Dahu,3259.7601928710938,3258.1307373046875,381.78941345214844,337.6191940307617,6517.890930175781,719.4086074829102
normal_normal_LU_C_64_13,2019-07-22 12:31:12.853,2019-07-22 12:31:39.883,normal_normal_LU_C_64_13,normal,normal,LU,C,64,13,13,Dahu,3382.384552001953,3381.4296264648438,402.64322662353516,343.1844482421875,6763.814178466797,745.8276748657227
normal_normal_LU_C_64_14,2019-07-22 12:31:42.888,2019-07-22 12:32:09.919,normal_normal_LU_C_64_14,normal,normal,LU,C,64,14,14,Dahu,3375.695068359375,3372.6988220214844,392.47928619384766,353.723876953125,6748.393890380859,746.2031631469727
normal_normal_LU_C_64_15,2019-07-22 12:32:12.923,2019-07-22 12:32:39.956,normal_normal_LU_C_64_15,normal,normal,LU,C,64,15,15,Dahu,3376.37255859375,3373.9176025390625,391.82130432128906,355.3719253540039,6750.2901611328125,747.193229675293
normal_normal_LU_C_64_16,2019-07-22 12:32:42.962,2019-07-22 12:33:09.996,normal_normal_LU_C_64_16,normal,normal,LU,C,64,16,16,Dahu,3383.8450927734375,3382.1118774414062,403.15084075927734,342.7469940185547,6765.956970214844,745.897834777832
normal_normal_LU_C_64_17,2019-07-22 12:33:13.000,2019-07-22 12:33:40.030,normal_normal_LU_C_64_17,normal,normal,LU,C,64,17,17,Dahu,3370.1184692382812,3367.11865234375,394.42413330078125,350.90247344970703,6737.237121582031,745.3266067504883
normal_normal_LU_C_64_18,2019-07-22 12:33:43.036,2019-07-22 12:34:10.067,normal_normal_LU_C_64_18,normal,normal,LU,C,64,18,18,Dahu,3374.7544860839844,3374.7802124023438,396.6659851074219,350.9802780151367,6749.534698486328,747.6462631225586
normal_normal_LU_C_64_19,2019-07-22 12:34:13.071,2019-07-22 12:34:40.106,normal_normal_LU_C_64_19,normal,normal,LU,C,64,19,19,Dahu,3374.266387939453,3367.8509826660156,396.3472213745117,347.91969299316406,6742.117370605469,744.2669143676758
normal_normal_LU_C_64_2,2019-07-22 12:25:44.453,2019-07-22 12:26:10.479,normal_normal_LU_C_64_2,normal,normal,LU,C,64,2,2,Dahu,3256.8907165527344,3255.4356689453125,375.76995849609375,335.3186340332031,6512.326385498047,711.0885925292969
normal_normal_LU_C_64_20,2019-07-22 12:34:43.111,2019-07-22 12:35:10.142,normal_normal_LU_C_64_20,normal,normal,LU,C,64,20,20,Dahu,3374.8430786132812,3370.2215576171875,396.39520263671875,349.5027313232422,6745.064636230469,745.8979339599609
normal_normal_LU_C_64_21,2019-07-22 12:35:13.147,2019-07-22 12:35:40.180,normal_normal_LU_C_64_21,normal,normal,LU,C,64,21,21,Dahu,3376.0785522460938,3372.4368896484375,396.4268493652344,344.22537994384766,6748.515441894531,740.652229309082
normal_normal_LU_C_64_22,2019-07-22 12:35:43.186,2019-07-22 12:36:10.217,normal_normal_LU_C_64_22,normal,normal,LU,C,64,22,22,Dahu,3369.9495849609375,3366.2989196777344,394.4159393310547,351.6154479980469,6736.248504638672,746.0313873291016
normal_normal_LU_C_64_23,2019-07-22 12:36:13.222,2019-07-22 12:36:40.252,normal_normal_LU_C_64_23,normal,normal,LU,C,64,23,23,Dahu,3381.7159729003906,3378.6731872558594,396.49664306640625,346.8344039916992,6760.38916015625,743.3310470581055
normal_normal_LU_C_64_24,2019-07-22 12:36:43.258,2019-07-22 12:37:10.288,normal_normal_LU_C_64_24,normal,normal,LU,C,64,24,24,Dahu,3378.738037109375,3375.4856567382812,397.3838882446289,348.49193572998047,6754.223693847656,745.8758239746094
normal_normal_LU_C_64_25,2019-07-22 12:37:13.294,2019-07-22 12:37:40.322,normal_normal_LU_C_64_25,normal,normal,LU,C,64,25,25,Dahu,3374.51513671875,3372.5857849121094,394.43260955810547,352.6683654785156,6747.100921630859,747.1009750366211
normal_normal_LU_C_64_26,2019-07-22 12:37:43.328,2019-07-22 12:38:10.363,normal_normal_LU_C_64_26,normal,normal,LU,C,64,26,26,Dahu,3381.466583251953,3377.845428466797,398.5322570800781,348.2808837890625,6759.31201171875,746.8131408691406
normal_normal_LU_C_64_27,2019-07-22 12:38:13.369,2019-07-22 12:38:40.403,normal_normal_LU_C_64_27,normal,normal,LU,C,64,27,27,Dahu,3379.0946044921875,3375.565948486328,397.44812774658203,344.6705551147461,6754.660552978516,742.1186828613281
normal_normal_LU_C_64_28,2019-07-22 12:38:43.408,2019-07-22 12:39:10.438,normal_normal_LU_C_64_28,normal,normal,LU,C,64,28,28,Dahu,3368.2679138183594,3362.9430541992188,399.71912384033203,345.62935638427734,6731.210968017578,745.3484802246094
normal_normal_LU_C_64_29,2019-07-22 12:39:13.443,2019-07-22 12:39:40.478,normal_normal_LU_C_64_29,normal,normal,LU,C,64,29,29,Dahu,3368.2156677246094,3362.7349853515625,396.2501220703125,349.13551330566406,6730.950653076172,745.3856353759766
normal_normal_LU_C_64_3,2019-07-22 12:26:14.490,2019-07-22 12:26:40.518,normal_normal_LU_C_64_3,normal,normal,LU,C,64,3,3,Dahu,3257.126251220703,3257.063232421875,376.56475830078125,337.1712646484375,6514.189483642578,713.7360229492188
normal_normal_LU_C_64_30,2019-07-22 12:39:43.484,2019-07-22 12:40:10.517,normal_normal_LU_C_64_30,normal,normal,LU,C,64,30,30,Dahu,3373.6867065429688,3370.797149658203,396.7666702270508,348.0288619995117,6744.483856201172,744.7955322265625
normal_normal_LU_C_64_4,2019-07-22 12:26:44.524,2019-07-22 12:27:10.550,normal_normal_LU_C_64_4,normal,normal,LU,C,64,4,4,Dahu,3258.3152465820312,3257.605224609375,373.60791778564453,339.07659912109375,6515.920471191406,712.6845169067383
normal_normal_LU_C_64_5,2019-07-22 12:27:14.555,2019-07-22 12:27:40.581,normal_normal_LU_C_64_5,normal,normal,LU,C,64,5,5,Dahu,3257.8595581054688,3257.588409423828,380.40564727783203,337.9215774536133,6515.447967529297,718.3272247314453
normal_normal_LU_C_64_6,2019-07-22 12:27:44.588,2019-07-22 12:28:10.625,normal_normal_LU_C_64_6,normal,normal,LU,C,64,6,6,Dahu,3254.710174560547,3255.3890686035156,379.51822662353516,342.2380065917969,6510.0992431640625,721.756233215332
normal_normal_LU_C_64_7,2019-07-22 12:28:13.629,2019-07-22 12:28:40.659,normal_normal_LU_C_64_7,normal,normal,LU,C,64,7,7,Dahu,3376.214599609375,3373.0779418945312,388.7522735595703,354.4672546386719,6749.292541503906,743.2195281982422
normal_normal_LU_C_64_8,2019-07-22 12:28:43.666,2019-07-22 12:29:09.694,normal_normal_LU_C_64_8,normal,normal,LU,C,64,8,8,Dahu,3259.9656982421875,3258.3335876464844,379.0499572753906,336.9824447631836,6518.299285888672,716.0324020385742
normal_normal_LU_C_64_9,2019-07-22 12:29:13.699,2019-07-22 12:29:39.730,normal_normal_LU_C_64_9,normal,normal,LU,C,64,9,9,Dahu,3259.36962890625,3259.2959594726562,378.8031768798828,339.9972915649414,6518.665588378906,718.8004684448242
normal_normal_LU_C_64_1,2019-07-22 12:27:01.583,2019-07-22 12:27:57.639,normal_normal_LU_C_64_1,normal,normal,LU,C,64,1,1,Ecotype,3167.940216064453,3174.7747192382812,492.7332763671875,491.0626220703125,6342.714935302734,983.7958984375
normal_normal_LU_C_64_10,2019-07-22 12:36:06.152,2019-07-22 12:37:04.218,normal_normal_LU_C_64_10,normal,normal,LU,C,64,10,10,Ecotype,3225.0757751464844,3226.3326110839844,472.0610122680664,547.9287872314453,6451.408386230469,1019.9897994995117
normal_normal_LU_C_64_11,2019-07-22 12:37:07.223,2019-07-22 12:38:04.276,normal_normal_LU_C_64_11,normal,normal,LU,C,64,11,11,Ecotype,3167.8961791992188,3168.7454833984375,497.4109573364258,501.7691650390625,6336.641662597656,999.1801223754883
normal_normal_LU_C_64_12,2019-07-22 12:38:08.282,2019-07-22 12:39:05.340,normal_normal_LU_C_64_12,normal,normal,LU,C,64,12,12,Ecotype,3172.039337158203,3172.812774658203,495.31237030029297,506.89707946777344,6344.852111816406,1002.2094497680664
normal_normal_LU_C_64_13,2019-07-22 12:39:08.344,2019-07-22 12:40:06.406,normal_normal_LU_C_64_13,normal,normal,LU,C,64,13,13,Ecotype,3228.561248779297,3228.3711853027344,531.651008605957,486.05562591552734,6456.932434082031,1017.7066345214844
normal_normal_LU_C_64_14,2019-07-22 12:40:10.411,2019-07-22 12:41:07.471,normal_normal_LU_C_64_14,normal,normal,LU,C,64,14,14,Ecotype,3176.0125122070312,3174.9479064941406,491.79852294921875,510.6442413330078,6350.960418701172,1002.4427642822266
normal_normal_LU_C_64_15,2019-07-22 12:41:10.476,2019-07-22 12:42:06.534,normal_normal_LU_C_64_15,normal,normal,LU,C,64,15,15,Ecotype,3116.673553466797,3116.5573120117188,488.5474395751953,501.2829818725586,6233.230865478516,989.8304214477539
normal_normal_LU_C_64_16,2019-07-22 12:42:10.539,2019-07-22 12:43:06.598,normal_normal_LU_C_64_16,normal,normal,LU,C,64,16,16,Ecotype,3119.7305908203125,3121.3382873535156,488.93065643310547,506.7049560546875,6241.068878173828,995.635612487793
normal_normal_LU_C_64_17,2019-07-22 12:43:10.604,2019-07-22 12:44:06.666,normal_normal_LU_C_64_17,normal,normal,LU,C,64,17,17,Ecotype,3120.478057861328,3120.3941345214844,491.24080657958984,499.4088134765625,6240.8721923828125,990.6496200561523
normal_normal_LU_C_64_18,2019-07-22 12:44:10.672,2019-07-22 12:45:08.737,normal_normal_LU_C_64_18,normal,normal,LU,C,64,18,18,Ecotype,3231.3069763183594,3230.4917602539062,492.0290985107422,524.4699554443359,6461.798736572266,1016.4990539550781
normal_normal_LU_C_64_19,2019-07-22 12:45:11.742,2019-07-22 12:46:08.803,normal_normal_LU_C_64_19,normal,normal,LU,C,64,19,19,Ecotype,3170.1710510253906,3170.2179565429688,497.543701171875,510.8420181274414,6340.389007568359,1008.3857192993164
normal_normal_LU_C_64_2,2019-07-22 12:28:00.643,2019-07-22 12:28:57.704,normal_normal_LU_C_64_2,normal,normal,LU,C,64,2,2,Ecotype,3169.9886779785156,3170.8417053222656,497.9728775024414,504.98657989501953,6340.830383300781,1002.9594573974609
normal_normal_LU_C_64_20,2019-07-22 12:46:12.809,2019-07-22 12:47:09.872,normal_normal_LU_C_64_20,normal,normal,LU,C,64,20,20,Ecotype,3175.7032165527344,3175.9393005371094,476.7898254394531,531.5613174438477,6351.642517089844,1008.3511428833008
normal_normal_LU_C_64_21,2019-07-22 12:47:13.877,2019-07-22 12:48:10.941,normal_normal_LU_C_64_21,normal,normal,LU,C,64,21,21,Ecotype,3176.653533935547,3177.3050231933594,502.94193267822266,512.9556427001953,6353.958557128906,1015.897575378418
normal_normal_LU_C_64_22,2019-07-22 12:48:13.945,2019-07-22 12:49:11.011,normal_normal_LU_C_64_22,normal,normal,LU,C,64,22,22,Ecotype,3165.6724853515625,3165.1807556152344,506.974609375,500.2497329711914,6330.853240966797,1007.2243423461914
normal_normal_LU_C_64_23,2019-07-22 12:49:14.016,2019-07-22 12:50:11.078,normal_normal_LU_C_64_23,normal,normal,LU,C,64,23,23,Ecotype,3172.443359375,3173.527587890625,500.15509033203125,500.1759490966797,6345.970947265625,1000.3310394287109
normal_normal_LU_C_64_24,2019-07-22 12:50:15.083,2019-07-22 12:51:12.147,normal_normal_LU_C_64_24,normal,normal,LU,C,64,24,24,Ecotype,3175.226806640625,3175.213104248047,500.6509246826172,505.49574279785156,6350.439910888672,1006.1466674804688
normal_normal_LU_C_64_25,2019-07-22 12:51:15.152,2019-07-22 12:52:13.214,normal_normal_LU_C_64_25,normal,normal,LU,C,64,25,25,Ecotype,3223.3778686523438,3223.5198364257812,510.0667037963867,512.5071868896484,6446.897705078125,1022.5738906860352
normal_normal_LU_C_64_26,2019-07-22 12:52:16.218,2019-07-22 12:53:13.273,normal_normal_LU_C_64_26,normal,normal,LU,C,64,26,26,Ecotype,3171.939727783203,3171.9850463867188,496.4429397583008,503.19581604003906,6343.924774169922,999.6387557983398
normal_normal_LU_C_64_28,2019-07-22 12:54:20.354,2019-07-22 12:55:16.416,normal_normal_LU_C_64_28,normal,normal,LU,C,64,28,28,Ecotype,3119.0340881347656,3119.9151306152344,488.0609664916992,504.3253631591797,6238.94921875,992.3863296508789
normal_normal_LU_C_64_29,2019-07-22 12:55:20.424,2019-07-22 12:56:16.480,normal_normal_LU_C_64_29,normal,normal,LU,C,64,29,29,Ecotype,3119.113525390625,3119.7227478027344,495.06095123291016,496.79232025146484,6238.836273193359,991.853271484375
normal_normal_LU_C_64_3,2019-07-22 12:29:00.709,2019-07-22 12:29:58.766,normal_normal_LU_C_64_3,normal,normal,LU,C,64,3,3,Ecotype,3223.8517150878906,3224.8323669433594,501.7810821533203,506.5791015625,6448.68408203125,1008.3601837158203
normal_normal_LU_C_64_30,2019-07-22 12:56:19.485,2019-07-22 12:57:17.540,normal_normal_LU_C_64_30,normal,normal,LU,C,64,30,30,Ecotype,3225.1587524414062,3225.185089111328,524.0261383056641,496.80604553222656,6450.343841552734,1020.8321838378906
normal_normal_LU_C_64_4,2019-07-22 12:30:02.771,2019-07-22 12:30:59.827,normal_normal_LU_C_64_4,normal,normal,LU,C,64,4,4,Ecotype,3174.572235107422,3175.283905029297,499.252685546875,501.49131774902344,6349.856140136719,1000.7440032958984
normal_normal_LU_C_64_5,2019-07-22 12:31:03.833,2019-07-22 12:31:59.888,normal_normal_LU_C_64_5,normal,normal,LU,C,64,5,5,Ecotype,3119.863983154297,3120.7022094726562,491.6225891113281,496.9259567260742,6240.566192626953,988.5485458374023
normal_normal_LU_C_64_6,2019-07-22 12:32:03.893,2019-07-22 12:33:01.957,normal_normal_LU_C_64_6,normal,normal,LU,C,64,6,6,Ecotype,3230.453582763672,3230.8306274414062,497.2054672241211,515.6436309814453,6461.284210205078,1012.8490982055664
normal_normal_LU_C_64_7,2019-07-22 12:33:04.961,2019-07-22 12:34:02.019,normal_normal_LU_C_64_7,normal,normal,LU,C,64,7,7,Ecotype,3167.011505126953,3166.690704345703,506.4537582397461,502.7020568847656,6333.702209472656,1009.1558151245117
normal_normal_LU_C_64_8,2019-07-22 12:34:06.026,2019-07-22 12:35:03.082,normal_normal_LU_C_64_8,normal,normal,LU,C,64,8,8,Ecotype,3174.3497009277344,3174.552703857422,507.19812774658203,505.7435760498047,6348.902404785156,1012.9417037963867
normal_normal_LU_C_64_9,2019-07-22 12:35:06.087,2019-07-22 12:36:03.148,normal_normal_LU_C_64_9,normal,normal,LU,C,64,9,9,Ecotype,3165.779083251953,3166.21728515625,508.9294967651367,497.7680130004883,6331.996368408203,1006.697509765625
normal_normal_LU_C_40_1,2019-07-24 15:22:19.440,2019-07-24 15:23:16.496,normal_normal_LU_C_40_1,normal,normal,LU,C,40,1,1,Paranoia,4201.127731323242,4142.397567749023,1335.1397323608398,1156.9953536987305,8343.525299072266,2492.1350860595703
normal_normal_LU_C_40_10,2019-07-24 15:31:37.963,2019-07-24 15:32:37.015,normal_normal_LU_C_40_10,normal,normal,LU,C,40,10,10,Paranoia,4359.116592407227,4298.482803344727,1167.0152587890625,1383.6410675048828,8657.599395751953,2550.6563262939453
normal_normal_LU_C_40_11,2019-07-24 15:32:40.018,2019-07-24 15:33:40.075,normal_normal_LU_C_40_11,normal,normal,LU,C,40,11,11,Paranoia,4431.14875793457,4339.108963012695,1422.9137878417969,1163.0863800048828,8770.257720947266,2586.0001678466797
normal_normal_LU_C_40_12,2019-07-24 15:33:44.083,2019-07-24 15:34:44.140,normal_normal_LU_C_40_12,normal,normal,LU,C,40,12,12,Paranoia,4419.492057800293,4368.561218261719,1147.8622741699219,1429.3173828125,8788.053276062012,2577.179656982422
normal_normal_LU_C_40_13,2019-07-24 15:34:48.144,2019-07-24 15:35:48.199,normal_normal_LU_C_40_13,normal,normal,LU,C,40,13,13,Paranoia,4443.2243728637695,4353.345611572266,1423.925765991211,1166.8489303588867,8796.569984436035,2590.7746963500977
normal_normal_LU_C_40_14,2019-07-24 15:35:52.203,2019-07-24 15:36:51.259,normal_normal_LU_C_40_14,normal,normal,LU,C,40,14,14,Paranoia,4352.257232666016,4299.0628662109375,1136.3798294067383,1405.266975402832,8651.320098876953,2541.6468048095703
normal_normal_LU_C_40_15,2019-07-24 15:36:55.262,2019-07-24 15:37:52.312,normal_normal_LU_C_40_15,normal,normal,LU,C,40,15,15,Paranoia,4247.631881713867,4165.053451538086,1202.1775817871094,1291.1193542480469,8412.685333251953,2493.2969360351562
normal_normal_LU_C_40_16,2019-07-24 15:37:56.316,2019-07-24 15:38:56.375,normal_normal_LU_C_40_16,normal,normal,LU,C,40,16,16,Paranoia,4475.302711486816,4347.514091491699,1432.775405883789,1165.5404739379883,8822.816802978516,2598.3158798217773
normal_normal_LU_C_40_17,2019-07-24 15:39:00.378,2019-07-24 15:40:00.435,normal_normal_LU_C_40_17,normal,normal,LU,C,40,17,17,Paranoia,4449.385818481445,4353.148399353027,1425.4629745483398,1158.9817352294922,8802.534217834473,2584.444709777832
normal_normal_LU_C_40_18,2019-07-24 15:40:04.438,2019-07-24 15:41:04.491,normal_normal_LU_C_40_18,normal,normal,LU,C,40,18,18,Paranoia,4449.205871582031,4374.363212585449,1149.6343460083008,1423.2799987792969,8823.56908416748,2572.9143447875977
normal_normal_LU_C_40_19,2019-07-24 15:41:08.494,2019-07-24 15:42:08.547,normal_normal_LU_C_40_19,normal,normal,LU,C,40,19,19,Paranoia,4445.885643005371,4369.376411437988,1157.3886337280273,1422.3892211914062,8815.26205444336,2579.7778549194336
normal_normal_LU_C_40_20,2019-07-24 15:42:12.550,2019-07-24 15:43:13.605,normal_normal_LU_C_40_20,normal,normal,LU,C,40,20,20,Paranoia,4468.515922546387,4430.9555587768555,1128.541275024414,1493.545883178711,8899.471481323242,2622.087158203125
normal_normal_LU_C_40_21,2019-07-24 15:43:17.608,2019-07-24 15:44:17.668,normal_normal_LU_C_40_21,normal,normal,LU,C,40,21,21,Paranoia,4440.335800170898,4339.668853759766,1429.6067199707031,1155.4863586425781,8780.004653930664,2585.0930786132812
normal_normal_LU_C_40_23,2019-07-24 15:45:21.727,2019-07-24 15:46:20.779,normal_normal_LU_C_40_23,normal,normal,LU,C,40,23,23,Paranoia,4387.671722412109,4308.009689331055,1169.012435913086,1388.8831176757812,8695.681411743164,2557.895553588867
normal_normal_LU_C_40_24,2019-07-24 15:46:24.783,2019-07-24 15:47:23.839,normal_normal_LU_C_40_24,normal,normal,LU,C,40,24,24,Paranoia,4381.694236755371,4272.210021972656,1397.9102783203125,1155.141845703125,8653.904258728027,2553.0521240234375
normal_normal_LU_C_40_25,2019-07-24 15:47:27.842,2019-07-24 15:48:26.893,normal_normal_LU_C_40_25,normal,normal,LU,C,40,25,25,Paranoia,4395.384078979492,4301.831764221191,1177.5082702636719,1384.3998184204102,8697.215843200684,2561.908088684082
normal_normal_LU_C_40_26,2019-07-24 15:48:30.896,2019-07-24 15:49:30.954,normal_normal_LU_C_40_26,normal,normal,LU,C,40,26,26,Paranoia,4461.951713562012,4347.969451904297,1431.3111572265625,1178.8932723999023,8809.921165466309,2610.204429626465
normal_normal_LU_C_40_27,2019-07-24 15:49:36.957,2019-07-24 15:50:38.016,normal_normal_LU_C_40_27,normal,normal,LU,C,40,27,27,Paranoia,4512.425361633301,4406.945899963379,1460.4470901489258,1165.0937423706055,8919.37126159668,2625.5408325195312
normal_normal_LU_C_40_29,2019-07-24 15:52:08.051,2019-07-24 15:53:07.107,normal_normal_LU_C_40_29,normal,normal,LU,C,40,29,29,Paranoia,4330.944038391113,4286.302658081055,1132.2577743530273,1405.3807220458984,8617.246696472168,2537.638496398926
