state;target;timestamp
begin;docker_lu_1;1565629685
end;docker_lu_1;1565629710
begin;bin_lu_1;1565629715
end;bin_lu_1;1565629738
begin;docker_lu_2;1565629738
end;docker_lu_2;1565629763
begin;bin_lu_2;1565629768
end;bin_lu_2;1565629793
begin;docker_lu_3;1565629793
end;docker_lu_3;1565629818
begin;bin_lu_3;1565629823
end;bin_lu_3;1565629846
begin;docker_lu_4;1565629846
end;docker_lu_4;1565629872
begin;bin_lu_4;1565629877
end;bin_lu_4;1565629901
begin;docker_lu_5;1565629901
end;docker_lu_5;1565629927
begin;bin_lu_5;1565629932
end;bin_lu_5;1565629957
begin;docker_lu_6;1565629957
end;docker_lu_6;1565629981
begin;bin_lu_6;1565629986
end;bin_lu_6;1565630010
begin;docker_lu_7;1565630010
end;docker_lu_7;1565630036
begin;bin_lu_7;1565630041
end;bin_lu_7;1565630065
begin;docker_lu_8;1565630065
end;docker_lu_8;1565630090
begin;bin_lu_8;1565630095
end;bin_lu_8;1565630120
begin;docker_lu_9;1565630120
end;docker_lu_9;1565630145
begin;bin_lu_9;1565630150
end;bin_lu_9;1565630174
begin;docker_lu_10;1565630174
end;docker_lu_10;1565630199
begin;bin_lu_10;1565630204
end;bin_lu_10;1565630228
begin;docker_lu_11;1565630228
end;docker_lu_11;1565630253
begin;bin_lu_11;1565630258
end;bin_lu_11;1565630282
begin;docker_lu_12;1565630282
end;docker_lu_12;1565630308
begin;bin_lu_12;1565630313
end;bin_lu_12;1565630336
begin;docker_lu_13;1565630336
end;docker_lu_13;1565630362
begin;bin_lu_13;1565630367
end;bin_lu_13;1565630392
begin;docker_lu_14;1565630392
end;docker_lu_14;1565630417
begin;bin_lu_14;1565630422
end;bin_lu_14;1565630447
begin;docker_lu_15;1565630447
end;docker_lu_15;1565630473
begin;bin_lu_15;1565630478
end;bin_lu_15;1565630502
begin;docker_lu_16;1565630502
end;docker_lu_16;1565630527
begin;bin_lu_16;1565630532
end;bin_lu_16;1565630556
begin;docker_lu_17;1565630556
end;docker_lu_17;1565630582
begin;bin_lu_17;1565630587
end;bin_lu_17;1565630612
begin;docker_lu_18;1565630612
end;docker_lu_18;1565630637
begin;bin_lu_18;1565630642
end;bin_lu_18;1565630668
begin;docker_lu_19;1565630668
end;docker_lu_19;1565630693
begin;bin_lu_19;1565630698
end;bin_lu_19;1565630722
begin;docker_lu_20;1565630722
end;docker_lu_20;1565630747
begin;bin_lu_20;1565630752
end;bin_lu_20;1565630776
begin;docker_lu_21;1565630776
end;docker_lu_21;1565630802
begin;bin_lu_21;1565630807
end;bin_lu_21;1565630832
begin;docker_lu_22;1565630832
end;docker_lu_22;1565630857
begin;bin_lu_22;1565630862
end;bin_lu_22;1565630886
begin;docker_lu_23;1565630886
end;docker_lu_23;1565630912
begin;bin_lu_23;1565630917
end;bin_lu_23;1565630942
begin;docker_lu_24;1565630942
end;docker_lu_24;1565630968
begin;bin_lu_24;1565630973
end;bin_lu_24;1565630997
begin;docker_lu_25;1565630997
end;docker_lu_25;1565631022
begin;bin_lu_25;1565631027
end;bin_lu_25;1565631052
begin;docker_lu_26;1565631052
end;docker_lu_26;1565631078
begin;bin_lu_26;1565631083
end;bin_lu_26;1565631108
begin;docker_lu_27;1565631108
end;docker_lu_27;1565631133
begin;bin_lu_27;1565631138
end;bin_lu_27;1565631162
begin;docker_lu_28;1565631162
end;docker_lu_28;1565631188
begin;bin_lu_28;1565631193
end;bin_lu_28;1565631218
begin;docker_lu_29;1565631218
end;docker_lu_29;1565631244
begin;bin_lu_29;1565631249
end;bin_lu_29;1565631274
begin;docker_lu_30;1565631274
end;docker_lu_30;1565631300
begin;bin_lu_30;1565631305
end;bin_lu_30;1565631330
begin;docker_lu_31;1565631330
end;docker_lu_31;1565631355
begin;bin_lu_31;1565631360
end;bin_lu_31;1565631384
begin;docker_lu_32;1565631384
end;docker_lu_32;1565631410
begin;bin_lu_32;1565631415
end;bin_lu_32;1565631440
begin;docker_lu_33;1565631440
end;docker_lu_33;1565631465
